epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7039,0.83555,2.02182,1.14872,0.91036,0.3549,0.48974,0.36731,0.94387,2.04066,1.05767,0.000545564,0.000545564,0.000545564
2,112.69,0.82461,1.40885,1.11863,0.63226,0.62717,0.63238,0.47956,0.87105,1.49263,1.03953,0.000992209,0.000992209,0.000992209
3,158.818,0.80646,1.22988,1.09947,0.75099,0.62206,0.7013,0.4968,0.97359,1.491,1.13211,0.00132883,0.00132883,0.00132883
4,210.305,0.80688,1.11851,1.09143,0.75403,0.56093,0.57653,0.41207,0.87957,1.38277,1.08028,0.0011719,0.0011719,0.0011719
5,262.005,0.76024,0.99757,1.06184,0.77172,0.54841,0.59,0.43944,0.79756,1.016,1.02242,0.00100687,0.00100687,0.00100687
6,317.296,0.71896,0.88264,1.02961,0.79568,0.57749,0.60465,0.44371,0.75239,0.89303,0.98833,0.000841835,0.000841835,0.000841835
7,370.11,0.69654,0.82998,1.03374,0.94354,0.61263,0.67229,0.51638,0.73534,0.85109,0.97478,0.000676802,0.000676802,0.000676802
8,435.437,0.65158,0.75939,0.99878,0.74739,0.42601,0.42999,0.33913,0.75112,0.80909,0.9796,0.000511769,0.000511769,0.000511769
9,506.702,0.62094,0.71039,0.98486,0.83683,0.43684,0.45001,0.36491,0.68882,0.77181,0.94474,0.000346736,0.000346736,0.000346736
10,580.282,0.59173,0.66306,0.96818,0.92347,0.51773,0.55706,0.44586,0.67867,0.70238,0.95219,0.000181703,0.000181703,0.000181703
