                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98502,                 2.1716,                 1.2708,                 0.6822,                 0.2339,                0.20894,                 0.1132,                 1.1264,                 5.4181,                0.87186,               0.067246,             0.00033085,             0.00033085
                      2,                 1.0576,                 2.1398,                 1.2878,                0.38706,                0.31078,                0.18522,                0.10444,                 1.0772,                 5.0552,                0.80536,               0.034242,              0.0006598,              0.0006598
                      3,                 1.0518,                 2.1088,                 1.2974,                0.66701,                0.30552,                0.22795,                0.12508,                 1.0923,                 5.8283,                0.83084,              0.0012331,             0.00098435,             0.00098435
                      4,                 1.0343,                  2.088,                 1.2738,                0.69173,                0.34994,                 0.2646,                0.15472,                0.95249,                 4.5659,                0.72207,              0.0009802,              0.0009802,              0.0009802
                      5,                0.99649,                 2.0503,                 1.2529,                0.49826,                0.32457,                0.24921,                0.15082,                 1.0919,                 5.0713,                0.79059,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.0116,                 1.9957,                 1.2461,                0.69782,                0.38322,                0.28004,                0.16267,                0.94629,                 4.5604,                0.70818,              0.0009736,              0.0009736,              0.0009736
                      7,                0.95397,                 1.9968,                 1.2167,                0.72723,                0.31663,                0.28596,                0.17637,                 0.9374,                  4.367,                0.69971,               0.000967,               0.000967,               0.000967
                      8,                0.94953,                 1.9684,                 1.2142,                0.73357,                0.32144,                0.29067,                0.17952,                0.92278,                 4.6979,                0.72356,              0.0009604,              0.0009604,              0.0009604
                      9,                0.96061,                 1.9957,                 1.2067,                0.69571,                0.33993,                0.27835,                  0.181,                0.98898,                 4.5497,                0.69825,              0.0009538,              0.0009538,              0.0009538
                     10,                 0.9227,                 1.9765,                 1.2003,                 0.7318,                0.34845,                0.29166,                0.18158,                0.95198,                 4.5545,                0.70129,              0.0009472,              0.0009472,              0.0009472
                     11,                0.92026,                 1.9327,                 1.1858,                0.72756,                0.37257,                0.29247,                0.18411,                0.92719,                 4.5611,                0.68483,              0.0009406,              0.0009406,              0.0009406
                     12,                0.91162,                  1.904,                  1.179,                0.71469,                0.36521,                0.28256,                0.19239,                 0.9204,                 4.5343,                0.67196,               0.000934,               0.000934,               0.000934
                     13,                0.88811,                 1.8986,                 1.1645,                0.74448,                0.37251,                0.30248,                 0.1902,                0.92639,                 4.4966,                0.67991,              0.0009274,              0.0009274,              0.0009274
                     14,                0.89452,                 1.9049,                  1.168,                0.71994,                0.39645,                0.29988,                0.18747,                0.89386,                  4.467,                0.66425,              0.0009208,              0.0009208,              0.0009208
                     15,                0.87207,                   1.89,                   1.16,                0.74916,                0.39866,                0.32849,                0.20438,                0.89896,                 4.2372,                0.66003,              0.0009142,              0.0009142,              0.0009142
                     16,                0.89652,                 1.8744,                 1.1635,                0.76426,                0.36341,                0.32107,                0.20289,                0.87925,                 4.3277,                0.65035,              0.0009076,              0.0009076,              0.0009076
                     17,                0.90146,                 1.9223,                 1.1772,                 0.7521,                0.39754,                0.33317,                0.21081,                0.91136,                 4.4299,                0.67173,               0.000901,               0.000901,               0.000901
                     18,                0.85913,                 1.8739,                 1.1569,                0.75388,                0.39194,                 0.3228,                0.20892,                0.91164,                  4.402,                0.69409,              0.0008944,              0.0008944,              0.0008944
                     19,                0.86417,                 1.8964,                  1.161,                0.51842,                0.36606,                0.29523,                0.18944,                0.96622,                 4.4366,                0.67605,              0.0008878,              0.0008878,              0.0008878
                     20,                 0.8797,                 1.8825,                 1.1652,                0.71344,                0.40747,                0.32018,                0.20511,                0.91449,                 4.5182,                0.69451,              0.0008812,              0.0008812,              0.0008812
                     21,                0.85198,                 1.8758,                 1.1505,                0.76307,                0.36863,                0.33019,                 0.2028,                0.91765,                 4.4241,                0.66949,              0.0008746,              0.0008746,              0.0008746
                     22,                 0.8471,                 1.8871,                 1.1528,                0.57129,                0.38581,                0.34223,                0.21599,                0.88591,                 4.3801,                0.65442,               0.000868,               0.000868,               0.000868
                     23,                0.87022,                 1.8925,                 1.1554,                0.75613,                0.37691,                0.33501,                0.20819,                0.94477,                 4.6132,                0.68595,              0.0008614,              0.0008614,              0.0008614
                     24,                0.84232,                 1.9035,                 1.1452,                0.77908,                0.40007,                0.34991,                0.21425,                0.89259,                  4.596,                0.69416,              0.0008548,              0.0008548,              0.0008548
                     25,                 0.8516,                 1.8541,                 1.1458,                0.56459,                0.37006,                0.31322,                0.20216,                0.89553,                 4.3122,                0.66583,              0.0008482,              0.0008482,              0.0008482
                     26,                0.84817,                 1.8697,                 1.1446,                0.73579,                 0.4116,                0.33225,                0.21517,                0.90648,                 4.5607,                0.67999,              0.0008416,              0.0008416,              0.0008416
                     27,                0.79911,                  1.846,                 1.1282,                0.78511,                0.37226,                0.34007,                0.21797,                0.90014,                 4.4935,                0.63864,               0.000835,               0.000835,               0.000835
                     28,                0.82838,                 1.8351,                 1.1435,                0.72361,                0.42539,                0.34791,                0.21366,                0.89616,                 4.5612,                0.67776,              0.0008284,              0.0008284,              0.0008284
                     29,                0.80523,                 1.8499,                 1.1263,                0.76359,                0.39594,                0.34962,                0.22643,                0.86993,                 4.2567,                0.65766,              0.0008218,              0.0008218,              0.0008218
                     30,                0.80258,                 1.8528,                 1.1329,                0.73947,                0.42702,                 0.3479,                0.21275,                0.89553,                  4.471,                0.64085,              0.0008152,              0.0008152,              0.0008152
                     31,                0.82054,                 1.8449,                 1.1318,                0.75923,                0.38162,                0.33742,                0.21283,                0.86919,                 4.5463,                0.63906,              0.0008086,              0.0008086,              0.0008086
                     32,                0.81445,                 1.8605,                 1.1195,                0.76491,                0.38163,                0.33738,                0.20811,                0.90106,                 4.6961,                0.67589,               0.000802,               0.000802,               0.000802
                     33,                0.81018,                 1.8384,                 1.1261,                0.52755,                0.41976,                0.34372,                0.21385,                0.91257,                  4.622,                0.65105,              0.0007954,              0.0007954,              0.0007954
                     34,                0.80241,                 1.8358,                 1.1185,                0.32733,                0.41973,                0.34229,                0.22056,                0.92105,                 4.6976,                0.67391,              0.0007888,              0.0007888,              0.0007888
                     35,                0.82028,                 1.8525,                 1.1372,                0.74955,                0.38773,                0.33157,                0.20835,                0.92157,                 4.6477,                0.62624,              0.0007822,              0.0007822,              0.0007822
                     36,                0.80902,                 1.7867,                 1.1242,                0.76057,                0.38972,                0.33353,                0.21234,                 0.9509,                 4.4692,                0.66919,              0.0007756,              0.0007756,              0.0007756
