epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.872551,0.82541,2.14472,1.2827,0.6186,0.89207,0.88775,0.61936,1.3969,1.32493,1.25195,0,0,0
2,1.87847,0.94133,1.9839,1.33313,0.5667,0.83333,0.87401,0.63267,1.4149,1.34782,1.26139,1.07219e-06,1.07219e-06,1.07219e-06
3,2.89332,0.92158,2.08743,1.27757,0.59194,0.83333,0.87376,0.6253,1.44855,1.3512,1.26923,1.90876e-06,1.90876e-06,1.90876e-06
4,3.87482,1.0699,2.26713,1.39289,0.58133,0.83333,0.87396,0.60379,1.46245,1.37751,1.27357,2.50971e-06,2.50971e-06,2.50971e-06
5,4.84889,0.99581,2.78966,1.36026,0.57087,0.83333,0.87239,0.59628,1.48584,1.41454,1.28189,2.87504e-06,2.87504e-06,2.87504e-06
6,5.87883,0.93345,1.7701,1.24201,0.59801,0.83333,0.87832,0.60891,1.49933,1.44668,1.28381,3.00475e-06,3.00475e-06,3.00475e-06
7,6.7168,0.86362,2.84568,1.25369,0.68081,0.83333,0.89226,0.62688,1.50621,1.47265,1.28364,2.89884e-06,2.89884e-06,2.89884e-06
8,7.68407,1.07216,2.23141,1.35258,0.67222,0.75,0.8924,0.6306,1.52694,1.50256,1.29559,2.55731e-06,2.55731e-06,2.55731e-06
9,8.61752,0.75975,1.74863,1.19381,0.66988,0.75,0.87864,0.61135,1.52489,1.55515,1.30101,1.98016e-06,1.98016e-06,1.98016e-06
10,9.63956,0.81802,1.85804,1.16073,0.6768,0.75,0.83597,0.60581,1.50662,1.54289,1.29342,1.16739e-06,1.16739e-06,1.16739e-06
